cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review,essay
DD,19,2026-03-14 05:09:32 UTC,0,87,0,0,0,1,0,0,1,T4_affect_stigma,0,The way the presentors sounded calm and collected made the topic seem less intimidating
DD,20,2026-03-14 05:10:40 UTC,0,67,0,1,0,0,0,0,1,T2_clarity_pace,0,Mainly the simple and understandable way the topics were explained.
DD,21,2026-03-14 05:18:05 UTC,0,161,1,0,0,0,0,0,1,T1_everyday_coffee,0,The thing that stood out to me is how certain molecules react with our smell receptors and other senses. It made me think about molecules in every day scenarios.
DD,22,2026-03-16 00:55:49 UTC,0,198,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0,I liked the visual representation of the molecules. I found it interesting when they were talking about how different chemicals interact with parts of the brain and the effect they have on the body.
DD,23,2026-03-14 05:17:13 UTC,0,128,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I liked that they acknowledged it was difficult but ultimately rewarding, and gave examples of how it relates to the real world."
DD,24,2026-03-14 06:39:29 UTC,0,287,0,0,0,1,0,0,1,T4_affect_stigma,0,"I liked how easily it broke down the content. I also feel like the negative attitude that professors in ochem may have, such as beginning the course by saying this will be a weeder course and most of you will struggle makes it challenging to feel like one has the possibility to succeed."
DD,25,2026-03-14 05:25:32 UTC,0,419,1,1,0,0,1,0,3,T1_everyday_coffee;T2_clarity_pace;T5_concepts_prior,0,"What stood out to me most in the video was when they explained exactly what organic chemistry was and how it is applicable to our everyday life. I had always heard these weres as being daunting, so hearing them break down the definition of organic chemistry with material I already known from gen chem made it easy to understand. It was also interesting to hear about how organic chemistry applies to our everyday life."
DD,26,2026-03-14 05:22:49 UTC,0,151,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I think coffee and chemistry is a really cool concept, especially as someone who worked as a barista in high school, it was cool to see this connection"
DD,27,2026-03-14 05:30:29 UTC,0,370,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0,"I enjoyed the fact that the video made chemistry feel very approachable and grounded by showing how it is part of everyday life. I did not have a negative conception of organic chemistry before, although I had heard things about it being difficult from other students. The video introduced it to me again in an exciting way that makes me look forward to it next quarter."
DD,28,2026-03-14 05:36:28 UTC,0,147,0,0,1,0,1,0,2,T3_visual_immersion;T5_concepts_prior,0,"What stood out to me the most was what wedges and hashes tell us and how they indicate their 3D dimensional structures, which I didn't know before."
DD,29,2026-03-14 05:52:18 UTC,0,315,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I think that the approach of relating Organic Chemistry to something that most college students rely on (coffee and caffeine) definitely aids the ability to understand how it relates to the real world. Additionally, it takes something that we understand on a macro level, and explains how it works on a micro level."
DD,30,2026-03-14 06:02:31 UTC,0,277,0,1,0,1,1,0,3,T2_clarity_pace;T4_affect_stigma;T5_concepts_prior,0,"I didn't realize that organic chemistry was about carbon specifically (I originally just thought it was about the shapes of molecules). I think the video made the main concepts of organic chemistry seem a lot simpler than I had originally thought it to be, which is reassuring."
DD,31,2026-03-15 21:53:02 UTC,0,68,0,0,0,0,1,0,1,T5_concepts_prior,0,Organic chemistry builds a lot on previous general chemistry topics.
DD,32,2026-03-14 05:45:24 UTC,0,150,0,0,0,0,1,0,1,T5_concepts_prior,0,"OChem primarily focuses on carbon, so I'm now wondering how in-depth we will go into studying carbon. What in particular are we studying about carbon?"
DD,33,2026-03-14 05:58:38 UTC,0,163,0,0,1,0,0,0,1,T3_visual_immersion,0,I enjoyed looking at the diagrams and graphics that were provided because it helped to visualize things. It helped to understand what organic chemistry looks like.
DD,34,2026-03-14 05:57:37 UTC,0,66,0,0,0,0,0,0,0,,1,"Understanding what it even is, because I did not know this before."
DD,35,2026-03-14 06:12:05 UTC,0,112,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I liked the real world application to several aspects of coffee such as the smell, stimulant effects, and taste."
DD,36,2026-03-14 06:11:18 UTC,0,199,0,0,0,0,0,0,0,,1,"I liked how the video was understanding that organic chemistry is normally seen to be very difficult, but then had a postive attitude about the ability to learn the topics. This was very encouraging."
DD,37,2026-03-14 06:40:09 UTC,0,128,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,I really enjoyed the graphics and the diagrams that the video used. It made me feel less nervous about taking organic chemistry.
DD,38,2026-03-14 06:13:16 UTC,0,402,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0,"I liked the real life application of the explanations. For instance, how the structure of molecules in coffee or sucralose relate to how our olfactory receptors can receive or not receive information about the smell. The connections of organic chemistry to real world experiences made me more excited to learn organic chemistry, which has been thought of as an abstract thing isolated from application."
DD,39,2026-03-14 06:13:30 UTC,0,112,0,0,0,0,1,0,1,T5_concepts_prior,0,It taught me the structure of organic molecules which seems very interesting and clears up with Organic Chem is!
DD,40,2026-03-14 07:13:10 UTC,0,378,0,0,0,1,0,0,1,T4_affect_stigma,0,"What stood out to me was how they made what seemed like a normal conversation into a specific teaching moment periodically and helped me begin to understand the ""drawings"" of org. chemistry that everyone warns me about, without having practiced that skill yet. The video made me less worried about my ability to understand the concepts that will be presented to me next quarter."
DD,41,2026-03-14 06:17:05 UTC,0,98,0,1,0,0,0,0,1,T2_clarity_pace,0,"liked how simple the concepts started, in this format building difficulty would be super effective"
DD,42,2026-03-14 06:23:36 UTC,0,336,0,1,1,0,1,0,3,T2_clarity_pace;T3_visual_immersion;T5_concepts_prior,0,"What stood out to me the most is the brief introduction to concepts that we will be learning, such as shorthand diagrams of molecules and the stereochemistry behind them. It didn't really change how I think about organic chemistry in any way, but it was useful to see a simple visualization and explanation such as the one in the video."
DD,43,2026-03-14 06:41:08 UTC,0,118,0,0,0,1,0,0,1,T4_affect_stigma,0,"I liked how it made organic chemistry seem less intimidating, and helped me understand the basics a little bit better."
DD,44,2026-03-14 06:27:08 UTC,0,333,0,0,1,1,0,1,3,T3_visual_immersion;T4_affect_stigma;T6_limits_friction,0,"What stood out to me in this video was the simplicity of explaining where carbons are located, what slashes or wedges represent, etc., compared to a textbook that is generally dense and heavily worded. It did not change how i think about ochem. I feel pretty neautral about taking it. I'm not scared but I'm definitely not confident."
DD,45,2026-03-14 06:31:00 UTC,0,207,1,0,0,0,0,0,1,T1_everyday_coffee,0,How organic chemistry is everywhere around us. It changed how I think about organic chemistry because it showed me that it will be helpful to understand in order to further my appreciation of my own studies.
DD,46,2026-03-14 06:34:10 UTC,0,93,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0,The animations stood out the most to me since they made it easier to understand the concepts.
DD,47,2026-03-14 06:33:04 UTC,0,120,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0,Adding the physical diagram alongside the drawn one helped me visualize the atom and how it connected to the real world.
DD,48,2026-03-14 06:33:59 UTC,0,227,0,0,0,0,0,0,0,,1,"I don't know what I expected from organic chemistry, but this video made it seem a lot less intimadating. I didn't really know it involved more shape like structures than math concepts, which is something I now look forward to."
DD,49,2026-03-14 06:37:24 UTC,0,105,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0,I liked how it used real world examples like the coffee and visuals while also using scientific language.
DD,50,2026-03-15 22:00:32 UTC,0,146,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,What stood out most to me about the video was its interactive nature. It made me feel a little less scared about learning about organic chemistry.
DD,51,2026-03-14 06:59:30 UTC,0,188,0,0,1,0,0,0,1,T3_visual_immersion,0,"I liked how instead of saying like locations of where the hydrogens would attach to, the narrator said they would go ""here"", and then visually showed us what he meant. It was very affable."
DD,52,2026-03-14 06:57:42 UTC,0,162,1,0,0,0,0,0,1,T1_everyday_coffee,0,I was interested in how the molecules have different properties that are manifested through taste or smell. It made me realize that ochem can be made interesting!
DD,53,2026-03-14 07:27:03 UTC,0,194,1,0,0,0,0,0,1,T1_everyday_coffee,0,"What stood out to me most was the modern day/real world example of w=a way that chemistry works in real like, which made me see chemistry as more important and more relevsnt to my everyday life."
DD,54,2026-03-14 07:43:14 UTC,0,150,1,0,0,0,0,0,1,T1_everyday_coffee,0,"Just how much organic chemostry is actually apparent in everyday life, from coffe to brain pathways! It definetly made me appreciate the subject more."
DD,55,2026-03-14 18:39:30 UTC,0,94,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0,"The visuals stood out to me most, as it presented ideas in a way that was easier to understand"
DD,56,2026-03-14 08:01:11 UTC,0,143,0,0,1,0,0,0,1,T3_visual_immersion,0,What stood out to me most is just the different orientation of the wedges and the hashes can completely change the molecule and its properties.
DD,57,2026-03-14 10:31:31 UTC,0,105,1,0,0,0,0,0,1,T1_everyday_coffee,0,I liked the connection between organic chemistry and coffee--could really see the real-world application.
DD,58,2026-03-14 08:12:48 UTC,0,201,0,0,0,0,0,0,0,,1,"The most notable thing about this video to me was that I had already learned many of the concepts discussed there before, which assuaged some of my concerns regarding the unfamiliarity of the material."
DD,59,2026-03-14 08:09:34 UTC,0,195,0,0,0,1,0,0,1,T4_affect_stigma,0,"I appreciated the nuanced perspective of organic chemistry. As someone who has long feared organic chemistry, this video slightly put me at ease and made the class seem slightly less intimidating"
DD,60,2026-03-14 08:18:01 UTC,0,333,1,0,0,0,0,0,1,T1_everyday_coffee,0,"What stood out to me in this video is how organic chemistry tells us more abt why were experiencing everyday life the way we do. For example the stimulation of coffee, and how thats connected to the organic molecule. It helps us take a magnifying glass into what we see around us. I am a pretty curious person, so this is intriguing."
DD,61,2026-03-18 01:45:53 UTC,0,157,0,0,1,0,0,0,1,T3_visual_immersion,0,I think I liked the calming music in the background. The visuals were also really helpful. I feel like I felt immersed and the knowledge stuck decently well.
DD,62,2026-03-14 08:35:19 UTC,0,161,0,0,0,0,1,0,1,T5_concepts_prior,0,It changed the way I thought about organic chemistry because it gave me a different perspective when they simplified the definition of what organic chemistry is.
DD,63,2026-03-14 08:35:51 UTC,0,16,0,0,0,0,0,0,0,,1,"Not much, sorry."
DD,64,2026-03-14 16:07:06 UTC,0,166,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0,I really like how they made it easy to understand and engaging. I think it did change the way I think about organic chemistry because I do not feel as scared anymore.
DD,65,2026-03-14 16:15:21 UTC,0,165,0,1,1,0,1,0,3,T2_clarity_pace;T3_visual_immersion;T5_concepts_prior,0,I liked how it summarized basically what organic chemistry is in 4 minutes without adding unecessary bluff and it is was simple to understand through visualizations!
DD,66,2026-03-14 16:42:19 UTC,0,21,1,0,0,0,0,0,1,T1_everyday_coffee,0,O chem is everywhere!
DD,67,2026-03-15 17:47:57 UTC,0,119,0,1,0,0,0,1,2,T2_clarity_pace;T6_limits_friction,0,"I couldn't find the video and it was unclear where I could find it, so I started the quiz thinking it might be in here."
DD,68,2026-03-14 17:47:48 UTC,0,110,0,0,0,1,0,0,1,T4_affect_stigma,0,The way the information was presented to me simplified things and eased by nervousness about organic chemistry
DD,69,2026-03-14 18:40:20 UTC,0,10,0,0,0,0,1,0,1,T5_concepts_prior,0,volatility
DD,70,2026-03-14 18:36:45 UTC,0,147,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0,"The interactive visuals and friendly atompsohere (friendly faces, voices, coffee shop) helped introuce organic chemistry to me in a positive light."
DD,71,2026-03-14 18:48:32 UTC,0,147,1,0,0,0,0,0,1,T1_everyday_coffee,0,I thought the description of the coffee molecules was interesting and brought organic chemistry to something most people are already familiar with.
DD,72,2026-03-14 19:10:09 UTC,0,156,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0,"I liked how they explained in a way that was simple and easy to understand, especially for someone like me who has only learned general chemistry materials."
DD,73,2026-03-14 19:59:56 UTC,0,142,0,0,0,0,0,0,0,,1,I think it was a good review from things that I sort of knew and I also like that they are trying to take away the worry of taking ochem next.
DD,74,2026-03-16 00:33:16 UTC,0,195,1,0,0,0,0,0,1,T1_everyday_coffee,0,"It was cool how they applied organic chemistry to coffee. What more was cool was how thorough they explained it, made me realize that even daunting concepts like Ochem can be understood smoothly."
DD,75,2026-03-14 20:11:58 UTC,0,117,0,0,0,1,0,0,1,T4_affect_stigma,0,"I am much more excited to learn about it and look forward to it somewhat now, because before I was really dreading it"
DD,76,2026-03-14 19:47:03 UTC,0,206,1,0,0,1,0,0,2,T1_everyday_coffee;T4_affect_stigma,0,The idea that organic chemistry is a dreaded and misunderstood subject stood out to me the most. I appreciated that the video gave examples of real ways that organic chemistry dictates everyday experiences.
DD,77,2026-03-14 19:53:21 UTC,0,386,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0,I liked how the video defines what organic chemistry is and provided a thorough example about an everyday item and how it relates to organic chemistry. I also like how the video was not overlyconfusing and built upon topics that are taught in general chemistry. This lightens the nerves I have for taking organic chemistry a little and also helps me see the relevance of learning ochem.
DD,78,2026-03-14 20:46:11 UTC,0,334,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0,"They tried to present the subject in a very simple way, probably assuming some of us understood some of the basic chemistry principles they mentioned like how many bonds carbon can form. It didn't really change the way I think about organic chemistry but I know it is actually more difficult than they painted it to be in the video..."
DD,79,2026-03-14 20:46:21 UTC,0,161,0,0,0,0,1,0,1,T5_concepts_prior,0,"What stood out to me was how Organic Chemistry is primarily focused on structures with carbon atoms in them, which changed my perspective on what OChem is about."
DD,80,2026-03-14 20:55:11 UTC,0,279,0,0,0,0,0,0,0,,1,"The way concepts were introduced step by step (for beginners) allowed me to understand and see the concept easily fully. It helped me see a ""hard"" concept as an easier one. It also changed my perspective on O-chem just by knowing what it conceptually is and where it can be seen."
DD,81,2026-03-14 21:20:54 UTC,0,81,0,0,0,1,0,0,1,T4_affect_stigma,0,The way that it simplified a topic that so many students find to be intimidating.
DD,82,2026-03-14 21:29:11 UTC,0,150,0,0,0,1,0,0,1,T4_affect_stigma,0,I liked the friendliness. Ochem is a commonly feared subject and it is helpful to know that there are people who recognize that and want to change it.
DD,83,2026-03-15 00:27:55 UTC,0,371,1,0,0,0,0,0,1,T1_everyday_coffee,0,"The thing that stood to me the most in these video is what organic chemistry actually means and how that is applied to our everyday lives. The fact that is is everything we use, such as the coffee we drink, contains organic chemistry, is new to me. This changes the way that I percieve organic chemistry and how I see that it impacts and can be applied to the real world."
DD,84,2026-03-14 21:36:36 UTC,0,98,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0,The immersive nature was helpful. Did change how I view Ochem and makes it seem more approachable.
DD,85,2026-03-14 21:39:21 UTC,0,333,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0,"I enjoyed learning that the orientation of molecules changes, which receptors can read the sensation and translate the message to the brain. After watching this video, I was interested in why people say organic chemistry is so bad. I think the hardest part will be learning how to draw the structures of these carbon-based molecules."
DD,86,2026-03-14 21:50:09 UTC,0,232,0,0,0,0,0,0,0,,1,I honestly was really unfamiliar with organic chemistry before this video. What stood out the most to me was that food and household items depend on organic compounds. I'm excited to learn how these apply in our course next quarter.
DD,87,2026-03-14 22:10:08 UTC,0,131,1,0,0,0,0,0,1,T1_everyday_coffee,0,"Before I had, it really thought chemistry had an impact on human beings of it was interesting to see how it has an impact on coffee"
DD,88,2026-03-14 22:22:47 UTC,0,189,1,0,0,0,0,0,1,T1_everyday_coffee,0,"It was cute. I appreciated learning about the organic chemistry underlying an everyday thing like cofffee. It was very interesting. I knew most of what was said already, but appreciated it."
DD,89,2026-03-14 22:24:27 UTC,0,211,1,0,0,0,0,0,1,T1_everyday_coffee,0,"One thing that stood out to me in this video was when it talked about coffee, explaining that the exact molecules and how they are arranged are critical, especially for the receptors to receive that information."
DD,91,2026-03-15 22:14:13 UTC,0,291,0,1,1,1,0,0,3,T2_clarity_pace;T3_visual_immersion;T4_affect_stigma,0,The thing that stood out the most to me in the video was that it presented a lot of visual examples rather then just usuing words to explain the concepts. I think this helped me understand the concepts a lot better and faster. This made me a little bit less nervous taking organic chemistry.
DD,92,2026-03-14 22:43:51 UTC,0,311,1,0,0,0,0,0,1,T1_everyday_coffee,0,"What stood out to me most about this video was how involved organic chemistry is within our daily lives. I didn't know the smell of coffee had to do with organic molecules binding to specific receptors in the nose. However, I don't think this video significantly altered the way I think about organic chemistry."
DD,93,2026-03-16 08:51:17 UTC,0,208,0,0,0,0,1,0,1,T5_concepts_prior,0,"I thought the explanation of the short hand ways of writing out different molecules was very helpful. I definitely remember learning about this in 14AE, but I totally forgot about these short hand techniques."
DD,94,2026-03-19 17:17:30 UTC,0,106,0,0,1,0,0,0,1,T3_visual_immersion,0,I thoroughly enjoyed the 3D graphics of the molecules that helped me to visually understand the molecules.
DD,95,2026-03-14 22:53:37 UTC,0,217,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0,"I liked how the video incorperated visuals and diagrams, which helped me apply the information more effectivley. Explaining material in the context of familliar experiences, such as drinking coffee, is also effective."
DD,96,2026-03-14 23:13:17 UTC,0,145,1,0,0,0,0,0,1,T1_everyday_coffee,0,I enjoyed the breakdown of different molecules in coffee so that the video felt more informative and actually applicable to real-life situations.
DD,97,2026-03-14 23:13:01 UTC,0,119,0,0,0,0,1,0,1,T5_concepts_prior,0,"I didn't really know it was super based on the structures of molecules, I thought it was more like genchem just harder?"
DD,98,2026-03-14 23:11:11 UTC,0,198,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I liked the real world example of multiple different chemical compounds using one cup of coffee, as it helped me connect stuff I already know (what caffeine does) with orgo concepts (its structure)."
DD,99,2026-03-14 23:30:24 UTC,0,208,0,0,1,0,0,0,1,T3_visual_immersion,0,"I liked that there were diagrams and models of the molecules included to help with understanding. It didn't really change how I think about o chem, but I think I already had a good understanding of the topic."
DD,100,2026-03-14 23:50:16 UTC,0,308,0,0,0,0,1,0,1,T5_concepts_prior,0,The fact that organic chemistry is just the study of carbon-based molecules stood out to me. I thought it was the study of how certain molecules interact with other things in relation o biological prcoesses. I did not know that molecules such as water or salts were not directly related to organic chemistry.
DD,101,2026-03-15 00:17:28 UTC,0,152,1,0,0,0,0,0,1,T1_everyday_coffee,0,I liked the reference to coffee and the shop background. I think the video was very introductory and easy to follow for the basics of organic chemistry.
DD,102,2026-03-15 00:46:35 UTC,0,409,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0,"What stood out to me most baout the video was just how much complex things in the real world can be broken down through organic chemsitry and even moreso broken down into the individual parts of each molecule/how much orientation matters. I would say it did nto relaly change the way I think about organic chemsitry, but was interestign to hear about some ways we can see organic chemistry in our daily lives."
DD,103,2026-03-15 01:24:34 UTC,0,247,0,1,0,1,1,0,3,T2_clarity_pace;T4_affect_stigma;T5_concepts_prior,0,"The video really simplified the concept of organic chemistry to demystify it. I think this helped me be less nervous about it, and showed me that I have already developed an understanding of many fundamental concepts throughout chem 14AE and 14BE."
DD,104,2026-03-15 01:16:48 UTC,0,155,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0,It felt easy to understand. I did not need to put high efforts to fully comprehend the topics introduced. I loved how we related o-chem to realworld topics
DD,105,2026-03-15 01:43:18 UTC,0,197,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,The visuals really stood out to me the most as I would say I am a visual learer. It showed me that organic chemistry isn't so intimidating and with the right instruction I could learn the material.
DD,106,2026-03-15 02:11:57 UTC,0,244,0,0,0,1,0,0,1,T4_affect_stigma,0,What stood out to me is that the speakers of the video also said that for too many people organic chemistry can be fearful but to not have fear is that a lot of these concepts will become easier with practice. It gave me some peace and comfort.
DD,107,2026-03-16 05:59:21 UTC,0,130,0,0,0,0,1,0,1,T5_concepts_prior,0,"What stood out to me most in the video was how the interactions between carbon and other molecules, and the way they are arranged."
DD,108,2026-03-15 02:11:50 UTC,0,244,1,0,0,0,0,0,1,T1_everyday_coffee,0,I liked how they talked about coffee because I love coffee and so it was interesting to learn about the effects of caffeine. I didn't know that chemistry affects how we smell things because molecules are interacting with our smelling receptors.
DD,109,2026-03-15 02:10:45 UTC,0,177,1,1,1,0,0,0,3,T1_everyday_coffee;T2_clarity_pace;T3_visual_immersion,0,The visual and narrative format of the video. Using an everyday thing like coffee to explain orgo chem. It made me realize that o chem is present in many things I interact with.
DD,110,2026-03-15 03:01:08 UTC,0,199,1,0,0,0,0,0,1,T1_everyday_coffee,0,The coffee portion of the video was interesting. It put in perspective the molecular components that make up what coffee is in terms of smell and taste. I didn't see coffee in a chemical perspective.
DD,111,2026-03-15 02:58:20 UTC,0,324,1,0,0,0,0,0,1,T1_everyday_coffee,0,"I liked the stucture or pathway they took us through being a everyday or real-life example of how we can see OChem at the cafe. While touching up on basic introduction of the concepts, it made me realize it is a little more applicable that purely conceptual and that it does have more relation my everyday life and problems."
DD,112,2026-03-15 02:23:33 UTC,0,259,1,0,0,0,0,0,1,T1_everyday_coffee,0,"Caffeine is absorbed into out bodies into our brain, the brain grabs adenosine, since caffeine gets into the adenosine receptors we feel stimulated instead of calm. Yes, it made me realize organic chemistry is more applicable to the real world than I thought."
DD,113,2026-03-15 02:26:37 UTC,0,108,1,0,0,0,0,0,1,T1_everyday_coffee,0,I think the video did a good job at getting me excited for organic chemistry and its real-world application.
DD,114,2026-03-15 06:16:45 UTC,0,265,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,What stood out to me was how much I recognized. I realized that it wasn't all new material and ideas and made me feel slightly less scared about it. I liked how it used so many diagrams and images and made me also realize how three-dimensional organic chemistry is.
DD,115,2026-03-15 03:19:12 UTC,0,78,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0,"The video had easy to understand diagrams, and everything was made very clear."
DD,116,2026-03-17 15:35:48 UTC,0,23,0,0,0,0,0,0,0,,1,the images of moleucles
DD,117,2026-03-15 03:41:28 UTC,0,107,0,0,0,0,0,1,1,T6_limits_friction,0,"It didn't change the way I think about organic chemistry, but I enjoyed how passionate both presenters are."
DD,118,2026-03-15 03:53:03 UTC,0,388,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0,"I think the accessibility of it stood out to me. It was clear and concise but still gave a robust overview of organic chemistry, and eased some of my worries. I also liked how the video acknowledged that organic chemistry is a pretty dreaded subject among college students and took steps to try and mitigate that fear. It didn't erase the difficulty completely, but offered encouragement."
DD,119,2026-03-15 03:58:12 UTC,0,204,0,0,1,0,0,0,1,T3_visual_immersion,0,The video was pretty interesting because it took what usually just looks like diagrams and molecules and applied them to real-life things. I liked the structural visuals as well - they seemed interesting.
DD,120,2026-03-15 04:24:11 UTC,0,97,0,1,0,0,0,0,1,T2_clarity_pace,0,I liked how it explained things concisely. I think I already knew most of the stuff talked about.
DD,121,2026-03-15 04:30:38 UTC,0,324,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0,"What stood out to me most about this video was how they made the introduction to the subject so easily digestible. While I would still say I am nervous to take my first Organic Chemistry class, I did feel a bit more at ease after watching the video because now I know that it won't be some about some wildly foreign concept."
DD,122,2026-03-15 04:40:13 UTC,0,159,0,0,0,1,0,0,1,T4_affect_stigma,0,I feel like the video presented organic chemistry in a way that made it seem more manageable but I still fear for some of the more complex and advanced topics.
DD,123,2026-03-15 04:56:40 UTC,0,49,1,0,0,0,0,0,1,T1_everyday_coffee,0,I enjoyed the real world application with coffee.
DD,124,2026-03-15 05:58:23 UTC,0,116,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,"I thought it was very immersive, and I think it made me feel a little less anxious about starting organic chemistry."
DD,125,2026-03-15 06:16:38 UTC,0,79,0,0,0,0,0,0,0,,1,i thought it was a good introduction and little insight into organic chemistry.
DD,126,2026-03-15 06:29:49 UTC,0,292,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0,"I liked the animations, they were nice and kept me more captivated. I wish every chemistry video was like this, then maybe I would actually understand what was going on during video lectures. It made me think more about how everything is just chemistry, but I'm still nervous about the class."
DD,127,2026-03-15 07:09:20 UTC,0,97,0,0,1,0,0,0,1,T3_visual_immersion,0,Visual representation and calmness of the video with the right pace and introduction of material.
DD,128,2026-03-15 06:44:17 UTC,0,81,0,1,0,0,0,0,1,T2_clarity_pace,0,How simply organic chemistry was broken down. I was expecting a lengthy defintion
DD,129,2026-03-15 06:57:30 UTC,0,382,1,0,0,1,1,0,3,T1_everyday_coffee;T4_affect_stigma;T5_concepts_prior,0,"When watching the video, it did make me feel a bit nervous for organic chemistry, as it is such a complex course that is very rigorous and tedious. What really stood out to me was the section on caffeine, as I consume more caffeine than I probably should, instead of knowing the cellular context behind it from 7C I can now learn the chemical background through the works of carbon."
